"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-06",,"87",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-07",,"85",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-08",,"85",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-09",,"85",,"70"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-10",,"85",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-11",,"84",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-12",,"85",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-13",,"85",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-14",,"87",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-15",,"85",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-16",,"85",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-17",,"86",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-22",,"81",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-23",,"81",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-24",,"81",,"67"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-25",,"80",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-26",,"80",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-27",,"81",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-28",,"81",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-29",,"79",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-30",,"79",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-02",,"84",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-03",,"85",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-04",,"86",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-05",,"85",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-06",,"84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-07",,"81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-08",,"78",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-09",,"78",,"57"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-10",,"80",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-11",,"81",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-12",,"81",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-13",,"80",,"67"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-14",,"80",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-15",,"80",,"61"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-16",,"79",,"57"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-17",,"78",,"59"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-18",,"76",,"60"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-19",,"77",,"60"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-20",,"76",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-21",,"76",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-22",,"78",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-23",,"76",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-24",,"76",,"67"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-25",,"76",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-26",,"79",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-27",,"78",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-28",,"79",,"70"
